complaint_id,description,violation_category
C00289,As stated in the complaint naka improper uniform malapit sa gate. (wearing ripped or revealing clothes),Wearing Ripped or Revealing Clothes
C00290,The student was observed nang-insulto ng teacher sa hallway. (wearing heavy make-up),Wearing Heavy Make-up
C00291,Based on teacher's report uminom ng alak sa classroom. (posting indecent pictures online),Posting Indecent Pictures Online
C00292,nakita ko na nag-aaway sa gym. (grave threats),Grave Threats
C00293,As stated in the complaint nagdala ng cellphone kahit bawal sa hallway. (assault fellow students),Assault Fellow Students
C00294,The student was caught walang suot na ID sa gym. (wearing school uniform improperly),Wearing School Uniform Improperly
C00295,nagreport si teacher na nang-insulto ng teacher sa computer lab. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C00296,As stated in the complaint nagdala ng cellphone kahit bawal sa library. (falsification of documents),Falsification of Documents
C00297,The student was caught nagdala ng cellphone kahit bawal sa gym. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C00298,sinabihan ako na naglagay ng sticker sa ID sa classroom. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C00299,The student was observed nagche-cheat sa exam sa library. (posting indecent pictures online),Posting Indecent Pictures Online
C00300,nagreport si teacher na nagyoyosi sa canteen. (falsification of documents),Falsification of Documents
C00301,It was reported that naka improper uniform malapit sa gate. (providing or financing drugs),Providing or Financing Drugs
C00302,nagreport si teacher na naglagay ng sticker sa ID malapit sa gate. (membership in fraternities),Membership in Fraternities
C00303,According to CCTV footage nagche-cheat sa exam sa computer lab. (placing stickers on school id),Placing Stickers on School ID
C00304,According to CCTV footage nagpost ng bastos na picture sa library. (cybersecurity breach (plagiarism)),Cybersecurity Breach (Plagiarism)
C00305,The student was caught nagyoyosi sa library. (disobedience or disrespect to authority),Disobedience or Disrespect to Authority
C00306,nagreport si teacher na sumisigaw sa library. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C00307,nagreport si teacher na naglagay ng sticker sa ID sa classroom. (leaving classroom without permission),Leaving Classroom Without Permission
C00308,sinabihan ako na walang suot na ID sa canteen. (bringing dishonor to school),Bringing Dishonor to School
C00309,nakita ko na nagche-cheat sa exam sa computer lab. (spreading gossip online),Spreading Gossip Online
C00310,Based on teacher's report uminom ng alak sa library. (membership in fraternities),Membership in Fraternities
C00311,According to CCTV footage nagyoyosi sa computer lab. (forgery),Forgery
C00312,The student was observed walang suot na ID sa library. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C00313,caught siya na sumisigaw sa canteen. (engaging in premarital sex),Engaging in Premarital Sex
C00314,It was reported that uminom ng alak sa hallway. (colored or dyed hair/beard),Colored or Dyed Hair/Beard
C00315,sinabihan ako na nangopya sa canteen. (vandalism),Vandalism
C00316,nahuli siya na walang suot na ID sa library. (littering the campus),Littering the Campus
C00317,nakita ko na walang suot na ID sa gym. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C00318,The student was observed nakipagsuntukan sa canteen. (wearing scarves or caps),Wearing Scarves or Caps
C00319,nakita ko na nag-aaway sa computer lab. (shoplifting),Shoplifting
C00320,nagreport si teacher na nagyoyosi malapit sa gate. (tampering with network settings),Tampering with Network Settings
C00321,nahuli siya na sumisigaw sa hallway. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C00322,Based on teacher's report naka improper uniform malapit sa gate. (failure to comply with investigation),Failure to Comply with Investigation
C00323,As stated in the complaint sumisigaw sa hallway. (indecent attire),Indecent Attire
C00324,Based on teacher's report nagpost ng bastos na picture sa computer lab. (leaving classroom without permission),Leaving Classroom Without Permission
C00325,The student was observed nag-aaway sa canteen. (placing stickers on school id),Placing Stickers on School ID
C00326,sinabihan ako na nakipagsuntukan malapit sa gate. (lack of respect to faculty),Lack of Respect to Faculty
C00327,nakita ko na walang suot na ID sa classroom. (consistent violation of rules),Consistent Violation of Rules
C00328,nagreport si teacher na nangopya sa classroom. (shoplifting),Shoplifting
C00329,Based on teacher's report sumisigaw sa classroom. (bullying faculty members),Bullying Faculty Members
C00330,nakita ko na sumisigaw malapit sa gate. (indecency in media),Indecency in Media
C00331,The student was observed nag-aaway sa gym. (displaying pornographic materials),Displaying Pornographic Materials
C00332,nakita ko na nag-aaway sa classroom. (grave threats),Grave Threats
C00333,nakita ko na naka improper uniform sa classroom. (drug pushing),Drug Pushing
C00334,The student was caught nagche-cheat sa exam sa gym. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C00335,nahuli siya na sumisigaw malapit sa gate. (lack of respect to faculty),Lack of Respect to Faculty
C00336,nakita ko na naglagay ng sticker sa ID sa hallway. (purchase or sale of alcohol/cigarettes),Purchase or Sale of Alcohol/Cigarettes
C00337,may nagsumbong na sumisigaw sa classroom. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C00338,It was reported that nang-insulto ng teacher sa computer lab. (organizing destructive groups),Organizing Destructive Groups
C00339,Based on teacher's report naka improper uniform sa library. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C00340,caught siya na nakipagsuntukan sa gym. (grave threats),Grave Threats
C00341,The student was caught nakipagsuntukan malapit sa gate. (viewing pornographic sites),Viewing Pornographic Sites
C00342,nakita ko na naka improper uniform sa library. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C00343,may nagsumbong na nakipagsuntukan sa computer lab. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C00344,may nagsumbong na naglagay ng sticker sa ID malapit sa gate. (using gadgets without permission),Using Gadgets Without Permission
C00345,sinabihan ako na nangopya sa gym. (littering the campus),Littering the Campus
C00346,sinabihan ako na naglagay ng sticker sa ID sa canteen. (purchase or sale of alcohol/cigarettes),Purchase or Sale of Alcohol/Cigarettes
C00347,According to CCTV footage nagche-cheat sa exam sa classroom. (bringing dishonor to school),Bringing Dishonor to School
C00348,nagreport si teacher na nagdala ng cellphone kahit bawal sa classroom. (using gadgets without permission),Using Gadgets Without Permission
C00349,caught siya na uminom ng alak sa hallway. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C00350,nahuli siya na sumisigaw sa library. (smoking or drinking alcohol on campus),Smoking or Drinking Alcohol on Campus
C00351,As stated in the complaint nag-aaway malapit sa gate. (not following prescribed haircut),Not Following Prescribed Haircut
C00352,nahuli siya na nangopya sa classroom. (engaging in premarital sex),Engaging in Premarital Sex
C00353,sinabihan ako na walang suot na ID sa classroom. (wearing school uniform improperly),Wearing School Uniform Improperly
C00354,Based on teacher's report nang-insulto ng teacher sa computer lab. (assault fellow students),Assault Fellow Students
C00355,It was reported that nagyoyosi sa classroom. (use of foul language),Use of Foul Language
C00356,sinabihan ako na nagyoyosi malapit sa gate. (spreading gossip online),Spreading Gossip Online
C00357,As stated in the complaint naka improper uniform sa canteen. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C00358,It was reported that nang-insulto ng teacher sa library. (viewing pornographic sites),Viewing Pornographic Sites
C00359,caught siya na nangopya sa hallway. (participating in indecent conduct),Participating in Indecent Conduct
C00360,It was reported that nag-aaway sa hallway. (not following prescribed haircut),Not Following Prescribed Haircut
C00361,nakita ko na naka improper uniform sa gym. (shoplifting),Shoplifting
C00362,nakita ko na nag-aaway sa library. (use of foul language),Use of Foul Language
C00363,nagreport si teacher na nagdala ng cellphone kahit bawal sa hallway. (lack of respect to faculty),Lack of Respect to Faculty
C00364,Based on teacher's report nagyoyosi malapit sa gate. (bullying students verbally),Bullying Students Verbally
C00365,According to CCTV footage naka improper uniform sa canteen. (organizing destructive groups),Organizing Destructive Groups
C00366,The student was caught nagdala ng cellphone kahit bawal sa library. (jumping over the fence),Jumping Over the Fence
C00367,It was reported that naglagay ng sticker sa ID sa gym. (using another person’s identity),Using Another Person’s Identity
C00368,sinabihan ako na nagdala ng cellphone kahit bawal sa classroom. (assault fellow students),Assault Fellow Students
C00369,The student was observed walang suot na ID sa hallway. (placing stickers on school id),Placing Stickers on School ID
C00370,As stated in the complaint nagche-cheat sa exam sa library. (colored or dyed hair/beard),Colored or Dyed Hair/Beard
C00371,caught siya na nagpost ng bastos na picture sa gym. (posting indecent pictures online),Posting Indecent Pictures Online
C00372,nakita ko na nang-insulto ng teacher malapit sa gate. (stealing school or student property),Stealing School or Student Property
C00373,nahuli siya na uminom ng alak sa hallway. (deleting or damaging files),Deleting or Damaging Files
C00374,nagreport si teacher na nakipagsuntukan sa canteen. (using another person’s identity),Using Another Person’s Identity
C00375,nakita ko na nagche-cheat sa exam sa hallway. (willful damage of property),Willful Damage of Property
C00376,The student was caught nagpost ng bastos na picture sa library. (drug pushing),Drug Pushing
C00377,It was reported that nagpost ng bastos na picture sa computer lab. (inciting others to break rules),Inciting Others to Break Rules
